"Source:","C:\Users\Cyril\OneDrive - Gymnasium Lerbermatt\MA\SAP-Extended\SAP-Extended\SAP-Extended.kicad_sch"
"Date:","19.07.2023 22:45:41"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","399"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"D122","1","IN_7","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D123","1","IN_6","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D124","1","IN_5","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D125","1","IN_4","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D126","1","IN_3","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D127","1","IN_2","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D128","1","IN_1","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D129","1","IN_0","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D130","1","CF","LED","","Light emitting diode","",""
"D131","1","ZF","LED","","Light emitting diode","",""
"D132","1","EF","LED","","Light emitting diode","",""
"J1","1","Screw_Terminal_01x02","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J2, J3","2","DC37_Plug","DC37_Plug","Connector_Dsub:DSUB-37_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm","37-pin male plug pin D-SUB connector","",""
"J4","1","USB_C_Receptacle_PowerOnly_6P","USB_C_Receptacle_PowerOnly_6P","Connector_USB:USB_C_Receptacle_GCT_USB4085","USB Power-Only 6P Type-C Receptacle connector","",""
"J5","1","Barrel_Jack","Barrel_Jack","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","DC Barrel Jack","",""
"L1","1","22 µH","L","Inductor_THT:L_Radial_D12.0mm_P10.00mm_Neosid_SD12_style1","Inductor","",""
"R1, R2, R3, R4, R5, R6, R7, R8, R49, R60, R92, R140, R149, R150, R151, R152, R153, R154, R155, R156, R159","21","10K","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor","",""
"R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R52, R53, R54, R55, R56, R57, R58, R59, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R93, R94, R95, R96, R97, R98, R99, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132, R133, R134, R135, R136, R137, R138, R139, R141, R142, R143, R144, R145, R146, R147, R148","128","470","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor","",""
"R50","1","100K","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor","",""
